ST_NAME,DIST_NAME
Andhra Pradesh  ,1. Anantapur
Andhra Pradesh  ,2. East Godavari
Andhra Pradesh  ,3. Guntur  
Andhra Pradesh  ,4. Kurnool
Andhra Pradesh  ,5. Prakasam
Andhra Pradesh  ,6. Srikakulam
Andhra Pradesh  ,7. Visakhapatnam
Andhra Pradesh  ,8. Vizianagaram  
Telangana,9.   Adilabad
Telangana,10. Karimnagar
Telangana,11. Khammam
Telangana,12. Medak
Telangana,13. Mahbubnagar
Telangana,14. Nalgonda
Telangana,15. Warangal
Telangana,16. Nizamabad
Bihar,17.  Arwal
Bihar,18. Aurangabad
Bihar,19. Bhojpur
Bihar,20. Purba Champaran
Bihar,21. Gaya
Bihar,22. Jamui
Bihar,23. Jehanabad
Bihar,24. Kaimur (Bhabua)
Bihar,25. Munger
Bihar,26. Nalanda
Bihar,27. Nawada
Bihar,28. Patna
Bihar,29. Rohtas
Bihar,30. Sitamarhi
Bihar,31. Pashchim Champaran
Bihar,32. Muzaffarpur
Bihar,33. Sheohar
Bihar,34. Vaishali
Bihar,35. Banka
Bihar,36. Lakhisarai
Bihar,37. Begusarai
Bihar,38. Khagaria
,
Chhattisgarh,39. Bastar
Chhattisgarh,40. Bijapur
Chhattisgarh,41. Dantewada
Chhattisgarh,42. Jashpur
Chhattisgarh,43. Kanker
Chhattisgarh,44. Koriya
Chhattisgarh,45. Narayanpur
Chhattisgarh,46.  Rajnandgaon
Chhattisgarh,47. Surguja
Chhattisgarh,48. Dhamtari
Chhattisgarh,49. Mahasamund
Chhattisgarh,50. Gariaband
Chhattisgarh,51. Balod
Chhattisgarh,52. Sukma
Chhattisgarh,53. Kondagaon
Chhattisgarh,54. Balrampur
Jharkhand,55. Bokaro                                   
Jharkhand,56. Chatra
Jharkhand,57. Dhanbad
Jharkhand,58. Purbi Singhbhum
Jharkhand,59. Garhwa        
Jharkhand,60. Giridih
Jharkhand,61. Gumla
Jharkhand,62. Hazaribagh
Jharkhand,63. Kodarma
Jharkhand,64. Latehar
Jharkhand,65. Lohardaga
Jharkhand,66. Palamu
Jharkhand,67. Ranchi 
Jharkhand,68. Simdega
Jharkhand,69. Saraikela
Jharkhand,70. Pashchimi Singhbhum
Jharkhand,71. Khunti
Jharkhand,72. Ramgarh
Jharkhand,73. Dumka
Jharkhand,74. Deoghar
Jharkhand,75. Pakur
,
,
,
Madhya Pradesh, 76. Balaghat
,
,
Maharashtra,77. Chandrapur
Maharashtra,78. Garhchiroli
Maharashtra,79. Gondiya
,
,
,
Odisha,81. Gajapati
Odisha,82. Ganjam
Odisha,83. Kendujhar
Odisha,84. Koraput
Odisha,85. Malkangiri
Odisha,86. Mayurbhanj
Odisha,87. Nabarangapur
Odisha,88. Rayagada
Odisha,89. Sambalpur
Odisha,90. Sundargarh
Odisha,91. Nayagarh
Odisha,92.Kandhamal
Odisha,93. Debagarh
Odisha,94. Jajapur
Odisha,95.Dhenkanal
Odisha,96. Kalahandi
Odisha,97. Nuapada
Odisha,98. Bargarh
Odisha,99. Balangir
,
,
,
,
Uttar Pradesh,100. Chandauli
Uttar Pradesh,101. Mirzapur
Uttar Pradesh,102. Sonbhadra
,
,
,
West Bengal,103. Bankura
West Bengal,104. Paschim Medinipur
West Bengal,105. Puruliya
West Bengal,106. Birbhum
