STATE,DISTRICT_NAME,REGION_TYPE,AC_NO
Delhi,North West,Rural,1
Delhi,North,Rural,2
Delhi,North - North West - West,Urban,3
Delhi,North - North West - West,Urban,4
Delhi,North - North West - West,Urban,5
Delhi,North - North West - West,Urban,6
Delhi,North West,Rural,7
Delhi,West,Rural,8
Delhi,North - North West - West,Urban,9
Delhi,North - North West - West,Urban,10
Delhi,North - North West - West,Urban,11
Delhi,North - North West - West,Urban,12
Delhi,North - North West - West,Urban,13
Delhi,North - North West - West,Urban,14
Delhi,North - North West - West,Urban,15
Delhi,North - North West - West,Urban,16
Delhi,North - North West - West,Urban,17
Delhi,North - North West - West,Urban,18
Delhi,North - North West - West,Urban,19
Delhi,North - North West - West,Urban,20
Delhi,South - South West - Central - New Delhi,Urban,21
Delhi,South - South West - Central - New Delhi,Urban,22
Delhi,South - South West - Central - New Delhi,Urban,23
Delhi,North - North West - West,Urban,24
Delhi,North - North West - West,Urban,25
Delhi,North - North West - West,Urban,26
Delhi,North - North West - West,Urban,27
Delhi,North - North West - West,Urban,28
Delhi,North - North West - West,Urban,29
Delhi,North - North West - West,Urban,30
Delhi,North - North West - West,Urban,32
Delhi,South - South West - Central - New Delhi,Urban,33
Delhi,South West,Rural,34
Delhi,South West,Rural,35
Delhi,South - South West - Central - New Delhi,Urban,37
Delhi,South - South West - Central - New Delhi,Urban,39
Delhi,South - South West - Central - New Delhi,Urban,40
Delhi,South - South West - Central - New Delhi,Urban,41
Delhi,South - South West - Central - New Delhi,Urban,42
Delhi,South - South West - Central - New Delhi,Urban,43
Delhi,South - South West - Central - New Delhi,Urban,44
Delhi,South,Rural,46
Delhi,South - South West - Central - New Delhi,Urban,47
Delhi,South - South West - Central - New Delhi,Urban,48
Delhi,South - South West - Central - New Delhi,Urban,49
Delhi,South - South West - Central - New Delhi,Urban,50
Delhi,South - South West - Central - New Delhi,Urban,51
Delhi,South - South West - Central - New Delhi,Urban,52
Delhi,South - South West - Central - New Delhi,Urban,53
Delhi,South - South West - Central - New Delhi,Urban,54
Delhi,North East - East,Urban,55
Delhi,South - South West - Central - New Delhi,Urban,55
Delhi,North East - East,Urban,56
Delhi,North East - East,Urban,57
Delhi,North East - East,Urban,58
Delhi,North East - East,Urban,59
Delhi,North East - East,Urban,60
Delhi,North East - East,Urban,61
Delhi,North East - East,Urban,62
Delhi,North East - East,Urban,63
Delhi,North East - East,Urban,64
Delhi,North East - East,Urban,65
Delhi,North East - East,Urban,66
Delhi,North East - East,Urban,67
Delhi,North East - East,Urban,68
Delhi,North East - East,Urban,69
Delhi,North East - East,Urban,70
Puducherry,Puducherry,Urban,1
Puducherry,Puducherry,Urban,2
Puducherry,Puducherry,Urban,3
Puducherry,Puducherry,Rural,4
Puducherry,Puducherry,Urban,5
Puducherry,Puducherry,Urban,6
Puducherry,Puducherry,Urban,7
Puducherry,Puducherry,Urban,8
Puducherry,Puducherry,Urban,9
Puducherry,Puducherry,Urban,10
Puducherry,Puducherry,Urban,11
Puducherry,Puducherry,Urban,12
Puducherry,Puducherry,Urban,13
Puducherry,Puducherry,Urban,14
Puducherry,Puducherry,Urban,15
Puducherry,Puducherry,Urban,16
Puducherry,Puducherry,Urban,17
Puducherry,Puducherry,Urban,18
Puducherry,Puducherry,Urban,19
Puducherry,Puducherry,Rural,20
Puducherry,Puducherry,Rural,21
Puducherry,Puducherry,Urban,22
Puducherry,Puducherry,Urban,23
Rajasthan,Dausa,Rural,85
Rajasthan,Dausa,Rural,86
Rajasthan,Dausa,Rural,87
Rajasthan,Dausa,Urban,88
Rajasthan,Dausa,Rural,89
